Date,NO2,CO,PM2.5,PM10,SO2,O3
2025-01-01,,0.2,3.45,6.0,0.9,0.034
2025-01-02,,0.5,10.7,20.0,3.0,0.032
2025-01-03,,0.7,13.2,24.0,2.9,0.036
2025-01-04,,0.4,7.199999999999999,15.0,1.9,0.033
2025-01-05,,0.4,7.6,14.0,1.4,0.035
2025-01-06,,0.2,7.2,10.0,1.9,0.029
2025-01-07,,0.3,7.95,12.0,1.0,0.031
2025-01-08,,0.3,13.8,16.0,1.0,0.032
2025-01-09,,0.2,13.8,20.0,6.3,0.033
2025-01-10,,0.2,6.95,11.0,1.8,0.033
2025-01-11,,0.4,9.5,12.0,1.8,0.036
2025-01-12,,0.5,17.8,24.0,3.0,0.032
2025-01-13,,0.4,9.3,18.0,1.8,0.035
2025-01-14,,0.6,8.1,15.0,1.9,0.035
2025-01-15,34.4,0.7,23.1,43.0,8.9,0.03
2025-01-16,37.0,0.7,15.4,34.0,4.0,0.041
2025-01-17,13.7,0.6,15.8,32.0,4.7,0.036
2025-01-18,12.5,0.2,16.3,56.0,1.6,0.032
2025-01-19,2.0,0.2,7.050000000000001,14.0,1.0,0.03
2025-01-20,,0.1,,,,
2025-01-21,,0.2,,,,0.033
2025-01-22,14.9,0.5,8.2,19.0,2.3,0.036
2025-01-23,14.2,0.8,18.9,41.0,4.3,0.034
2025-01-24,14.4,0.8,18.0,34.0,3.6,0.038
2025-01-25,23.8,0.6,17.65,32.0,4.1,0.038
2025-01-26,34.4,0.6,27.1,39.0,11.7,0.029
2025-01-27,22.6,0.4,10.7,16.0,1.5,0.027
2025-01-28,36.8,0.4,10.45,25.0,1.7,0.031
2025-01-29,26.0,0.5,23.2,51.0,2.5,0.033
2025-01-30,28.8,0.6,23.2,40.0,4.4,0.036
2025-01-31,15.2,0.2,4.5,11.0,1.3,0.034
2025-02-01,25.0,0.4,10.5,29.0,4.1,0.036
2025-02-02,26.8,0.4,10.1,21.0,1.7,0.039
2025-02-03,35.6,0.6,13.899999999999999,36.0,3.7,0.043
2025-02-04,33.3,0.4,14.2,28.0,1.5,0.03
2025-02-05,16.4,0.5,15.5,36.0,2.5,0.02
2025-02-06,20.1,0.2,7.9,16.0,1.3,0.017
2025-02-07,21.3,0.3,9.45,19.0,1.9,0.022
2025-02-08,15.3,0.3,8.5,14.0,1.1,0.026
2025-02-09,3.9,0.2,7.75,14.0,1.9,0.017
2025-02-10,12.2,0.2,7.7,12.0,2.9,0.025
2025-02-11,14.9,0.3,12.5,19.0,1.3,0.013
2025-02-12,15.7,0.2,5.65,7.0,1.4,0.014
2025-02-13,18.0,0.2,7.6,11.0,1.1,0.024
2025-02-14,9.9,0.2,9.6,14.0,2.2,0.034
2025-02-15,5.4,0.2,8.95,21.0,1.5,0.032
2025-02-16,2.5,0.2,5.7,8.0,1.2,0.038
2025-02-17,8.4,0.2,7.2,10.0,1.1,0.041
2025-02-18,15.2,0.2,8.8,17.0,4.6,0.04
2025-02-19,4.7,0.2,12.0,15.0,2.8,0.033
2025-02-20,2.7,0.2,8.1,11.0,1.2,0.039
2025-02-21,8.1,0.2,7.7,13.0,1.1,0.036
2025-02-22,11.1,0.4,15.3,22.0,1.9,0.035
2025-02-23,22.5,0.5,18.7,28.0,8.1,0.035
2025-02-24,32.9,0.6,11.75,26.0,9.6,0.039
2025-02-25,36.4,0.6,17.0,35.0,3.0,0.045
2025-02-26,36.5,0.7,27.6,49.0,7.1,0.051
2025-02-27,27.6,0.3,10.899999999999999,22.0,2.1,0.046
2025-02-28,38.1,0.4,13.0,34.0,9.7,0.046
2025-03-01,37.1,0.5,22.7,48.0,1.6,0.049
2025-03-02,15.1,0.2,4.75,10.0,3.6,0.042
2025-03-03,29.9,0.2,8.2,17.0,5.4,0.045
2025-03-04,14.8,0.2,16.1,49.0,1.6,
